LocInfo;Coord_X;Coord_y
0002f81061005195;593096;2433343
0002f81075004a4d;595075;2427749
0002f81064009365;595373;2423817
0002f810750096cb;595838;2427355
0002f81001019edf;595949;2430530
0002f81064001089;596895;2424640
0002f810010136d9;597686;2430483
0002f8104202561c;597827;2431630
0002f81062109099;598632;2426177
0002f810621046b4;598848;2427004
0002f8100300d82c;599072;2426210
0002f81001ff9763;599644;2432770
0002f8106400ff09;599999;2423349
0002f81001ffdc1f;600536;2433424
0002f8100300a2f9;600661;2425302
0002f810420280cc;600858;2430893
0002f81003008b02;601945;2425613
0002f810034085ee;602900;2427400
0002f81001ff1ad5;603100;2433500
0002f81001ff2073;603124;2432939
0002f81001ff6b2b;603413;2434130
0002f8100310b14a;604022;2429802
0002f810610012ce;592560;2431110
0002f81065002f16;592630;2425610
0002f81001011074;597190;2430915
0002f81001ff70bd;597850;2432538
0002f8104202f50e;598864;2431184
0002f8104202489d;599035;2430473
0002f810040132fe;599210;2427071
0002f8100401f3e9;599931;2429028
0002f810420207c6;600702;2431159
0002f81001ff0dc9;601144;2433249
0002f81003fc66a3;601404;2435179
0002f810621008de;602089;2429816
0002f81003102199;602185;2429878
0002f8106210281d;603002;2430417
0002f81003406d3a;603532;2427400
0002f81062102816;603612;2430636
0002f8100310b31f;603720;2427890
0002f8100310873e;606032;2429665
0002f8100310cf0e;606679;2429727
0002f8100310b9f2;606679;2429727
0002f8100311e63d;606855;2431860
0002f810610026aa;592849;2432978
0002f810650052fe;593034;2427280
0002f810650052ff;593034;2427280
0002f8106500ff5d;593269;2425348
0002f810650011e0;593450;2424310
0002f81061004a97;593565;2431090
0002f8106000ffbe;594000;2434481
0002f81075000eb7;594050;2424619
0002f81061004996;594479;2432145
0002f8106000b1ed;594602;2434082
0002f81001fec1e2;595566;2430348
0002f8100300288a;596480;2425455
0002f81003008d40;596942;2427047
0002f8100300ab4e;597090;2425740
0002f810010142d3;597190;2431695
0002f8107501ab41;597723;2430187
0002f810030069eb;598280;2425812
0002f81062102210;598294;2429911
0002f810750195a3;598657;2428700
0002f81042023e74;599158;2431808
0002f8106400ce33;599171;2423063
0002f810030061d1;599820;2424440
0002f81001ffead2;601650;2432695
0002f81004007e4b;601682;2427708
0002f81001ff51d7;601765;2433148
0002f81004001a4a;601892;2428317
0002f8100400e5e9;602433;2429328
0002f81003102f9f;604437;2430066
0002f8100310c4c5;604452;2427068
0002f8100310b001;604732;2424402
0002f8100311a335;608338;2430768
0002f81061009556;590628;2433999
0002f8106100c8e4;591717;2431802
0002f8106100baa2;591972;2430719
0002f81061008684;592343;2428818
0002f81061005895;592551;2433060
0002f8106500e99e;592714;2423505
0002f8106500dd34;593034;2427280
0002f810750098c1;593121;2427794
0002f8106000a6eb;595274;2434303
0002f8106000970b;595970;2434852
0002f81075011453;597514;2427854
0002f810030032f3;597518;2426653
0002f8107501d5c9;598927;2429979
0002f81042028986;598937;2430958
0002f81042020b10;599012;2431445
0002f8107501ba57;599268;2429980
0002f81004011491;599365;2428370
0002f8107501ae7c;599396;2429906
0002f8100300f7f7;599494;2425958
0002f81003004677;599685;2426420
0002f810030066f7;599820;2424440
0002f8100300ebcd;600039;2424229
0002f81001ff1133;600536;2434430
0002f8104202d327;600593;2430516
0002f810621023a3;600849;2427994
0002f81003fc66a4;601404;2435179
0002f81003406c04;602477;2425993
0002f81003106b72;602805;2430692
0002f8100340f6e5;603445;2427986
0002f81003100b9f;603856;2431234
0002f8100310dced;604022;2429802
0002f810031090a7;604956;2427758
0002f8100311a72b;605859;2432694
0002f8107500740d;593847;2427089
0002f81061002079;593869;2433165
0002f81003007b55;595039;2426126
0002f81001019ec1;595949;2430530
0002f810600097f5;595970;2434852
0002f81075015457;596670;2428135
0002f81001010316;596815;2431048
0002f810010161de;597072;2430186
0002f81001017897;597369;2430077
0002f81001017824;597369;2430077
0002f8100300c958;598155;2426790
0002f81003002a5a;598604;2423944
0002f81001ff2b08;598947;2432404
0002f8100401f312;599232;2428548
0002f8100300c0eb;599363;2424346
0002f81042029262;599530;2431250
0002f8100300060a;600155;2426984
0002f8100400e647;601228;2426572
0002f8104202e48f;601471;2431878
0002f8104202e019;601650;2430720
0002f8100340149e;603934;2423882
0002f8100340a062;604861;2426435
0002f8100340ad03;604990;2425426
0002f8100310fdf3;605913;2427199
0002f81065004688;590690;2427802
0002f8107500d64d;593615;2427607
0002f81075006497;594601;2424991
0002f8107500120c;594626;2425690
0002f8106400931d;595925;2425341
0002f81003009930;596343;2425818
0002f8100101bea8;597059;2432838
0002f810420214fc;598812;2430602
0002f8100300cf6a;599628;2426646
0002f8100401204f;600023;2427798
0002f810040175a0;600452;2429558
0002f8104202fea0;601702;2430968
0002f81001ffd351;601765;2433148
0002f8100310f26c;602133;2429766
0002f81003105ef1;602983;2424358
0002f81062102661;604585;2430812
0002f8100310afe5;604732;2424402
0002f8100310ccb8;605768;2428958
0002f8100310f105;606174;2431203
0002f8100310cf92;606863;2430501
0002f81061009355;592036;2430711
0002f810650012e2;593268;2426960
0002f81075007319;593785;2426984
0002f810600061f2;594262;2434222
0002f8100101aa94;595064;2431777
0002f8107500e807;595630;2428614
0002f81061009ed0;595865;2432338
0002f81001fe972d;597381;2429565
0002f810030083c2;597862;2426320
0002f81062107cba;598552;2427630
0002f81001ffdd50;599007;2432718
0002f81062103d09;599339;2430832
0002f8104202ccc0;600135;2431290
0002f8104202c005;600360;2431604
0002f810621023f2;600687;2429906
0002f8100401d2e4;601156;2429437
0002f8100340d671;601868;2426150
0002f8100340d77f;602734;2425648
0002f810034089e4;603358;2428848
0002f8100310cbd3;604223;2428184
0002f8100310dd85;604460;2429991
0002f8100311ffda;606645;2435017
0002f8106100b83e;590799;2433444
0002f81061001a95;590799;2433444
0002f810650012e9;591621;2425904
0002f8106000c335;592760;2434470
0002f8100101338c;595079;2431638
0002f810640062e5;595373;2423817
0002f8107500cf51;595409;2424936
0002f8107500c44b;595413;2425337
0002f81001011a4f;596288;2430066
0002f8100300afb8;596566;2426046
0002f81001018ff9;597536;2430946
0002f8107501dae2;598033;2430574
0002f81001ffd777;598284;2433218
0002f8104202a9cc;598524;2431917
0002f81001ff2024;598947;2432404
0002f8100300949c;598970;2427031
0002f8100300e5d1;599628;2426646
0002f8100300f087;600661;2425302
0002f8100401c4e9;601227;2430112
0002f8100400d62f;601440;2428486
0002f8100340e5c1;601513;2426220
0002f81001fff38e;601650;2432695
0002f8100310e87f;602343;2424276
0002f81062108545;602625;2427433
0002f81062108574;603224;2428797
0002f8100310e4c3;606867;2428680
0002f81003111a99;608391;2434306
0002f8106100d42b;590702;2429558
0002f81060003e1a;593405;2434395
0002f81001fe8b40;594975;2428255
0002f810030063c4;596425;2426616
0002f8100101f0ea;596917;2433142
0002f81001019e2f;596989;2431095
0002f8100101dc20;597471;2430390
0002f8100300b8d4;597569;2425699
0002f81060009db1;597775;2434284
0002f8107501e562;598030;2428820
0002f81042023e96;598161;2430990
0002f8107501bc0c;598275;2427595
0002f81003008b17;598812;2425935
0002f81001ff0670;599561;2433152
0002f8100401769c;600352;2428056
0002f8104202fa8c;600484;2430752
0002f810040105f3;600535;2428390
0002f8100401bf24;600645;2429029
0002f8100400e3be;600876;2427052
0002f8100400ac81;601184;2429130
0002f8104202c70a;601370;2431380
0002f81004004293;601929;2428542
0002f8100310214b;602162;2430135
0002f81003107281;602196;2430990
0002f81003102124;602362;2430023
0002f810034085de;602461;2428271
0002f81003109824;602935;2431306
0002f8100310b949;605567;2429472
0002f81061009e78;590980;2432495
0002f8106000245f;592805;2434135
0002f81065001c97;593772;2426244
0002f8107500ae51;595621;2427549
0002f81001010e9b;596455;2431335
0002f81001011fe2;596859;2429530
0002f81001fe6a5c;597233;2431097
0002f8104202bc43;597527;2432249
0002f8100300a05b;597761;2425565
0002f81075014195;598043;2430735
0002f8100300b483;598325;2426195
0002f8104202c9f4;599311;2430892
0002f8100300d55c;599457;2423860
0002f81004018abe;599659;2427880
0002f810621023e8;600313;2430058
0002f81062107e42;600445;2430301
0002f81001ff0ada;600534;2433052
0002f8100310d970;601615;2430288
0002f810031017a8;601724;2429647
0002f81001fff7dd;601765;2433148
0002f81004009610;602106;2427772
0002f81062107c12;602467;2428302
0002f81003406bfa;602477;2425993
0002f81001ff8974;602838;2432340
0002f8100340a964;603202;2427191
0002f8100340ed6c;604396;2426542
0002f81003103f03;606515;2428195
0002f8106500db60;592460;2426546
0002f81001018a6c;597027;2431614
0002f81001013e1b;597203;2430783
0002f81003005214;597251;2426326
0002f81062107589;597362;2430380
0002f8106000e1f2;597806;2433915
0002f8107501f060;598033;2430574
0002f8107501f2be;598633;2429244
0002f81003003000;598738;2427074
0002f81075011772;599296;2428961
0002f81001ff638e;599644;2432770
0002f810040126c2;599660;2428578
0002f810030061d2;599820;2424440
0002f8100401f5d6;600068;2428086
0002f81062106f9b;600216;2427335
0002f81001ffd9d8;600536;2433424
0002f81003404cfa;601958;2424880
0002f8100310cc28;603385;2430604
0002f81003101908;603427;2432120
0002f8100340e3cd;603690;2426470
0002f81003109e28;607436;2429444
0002f8102200e9ee;608910;2428317
0002f8106100fafb;591674;2432096
0002f81001011d0f;591940;2432576
0002f81001fe0f1b;592793;2425983
0002f8107500c131;595168;2429634
0002f8107500b603;595278;2427410
0002f8100101e3fe;595488;2431354
0002f810750080ed;595768;2429264
0002f8100101faca;595900;2431350
0002f81001011b57;596288;2430066
0002f81001feb309;596769;2431937
0002f8100101d620;596777;2431219
0002f810010151a8;597427;2430179
0002f81001010119;597696;2430766
0002f8107501c2f0;597790;2429826
0002f810750119c2;598111;2430685
0002f810621094fc;598349;2425950
0002f81062100f3e;599936;2428295
0002f81003005922;600344;2423982
0002f81001ff677d;600661;2433114
0002f8104202dfd8;600858;2430893
0002f810621086d9;601190;2430132
0002f81003102550;603957;2431463
0002f8100310f247;604059;2431076
0002f8106210028a;604595;2431294
0002f810650071aa;590761;2425214
0002f8106500ffef;592460;2426546
0002f810610026a0;592849;2432978
0002f81061009b4f;593295;2432591
0002f81060006e41;593546;2433794
0002f81075001ae6;593812;2427048
0002f81001fe9e7e;596382;2429481
