LocInfo, Coord_X, Coord_y
0102f81000655dd0, 651625, 2626995
0102f8100065b98d, 652120, 2627118
0102f81000652901, 653420, 2625730
0102f8100065087d, 648111, 2624325
0102f8100065b721, 650285, 2625320
0102f8100065c24c, 650820, 2626560
0102f81000654dbe, 652599, 2626161
0102f8100065a060, 653200, 2626680
0102f8100065466b, 648250, 2627725
0102f810006513cf, 649883, 2625775
0102f81000656c09, 651170, 2626500
0102f81000651ad4, 651406, 2627092
0102f81000658948, 651944, 2627126
0102f810006599b4, 652545, 2626328
0102f81000658fe1, 650770, 2625610
0102f8100065f335, 652026, 2627499
0102f81000651d45, 652991, 2628272
0102f8100065dedc, 648111, 2624325
0102f81000656438, 649038, 2624599
0102f81000655ec9, 649945, 2628465
0102f81000654f47, 651088, 2627789
0102f81000657847, 651098, 2628298
0102f8100065dffa, 651274, 2626780
0102f8100065ff22, 651944, 2627126
0102f8100065fde9, 652584, 2626121
0102f81000659892, 647676, 2624629
0102f81000655eb2, 647802, 2624091
0102f81000650644, 649520, 2625254
0102f810006507fe, 652212, 2627602
0102f810006516d8, 652476, 2627334
0102f8100065dd0c, 648321, 2626961
0102f81000651a73, 650557, 2628274
0102f8100065cc7e, 650618, 2625539
0102f81000657073, 650820, 2626560
0102f81000655593, 650820, 2626560
0102f8100065cdf0, 652358, 2625557
0102f81000651c80, 653925, 2628200
0102f81000651459, 653925, 2628200
0102f8100065b1b5, 650240, 2626930
0102f81000651812, 650290, 2626640
0102f8100065d8cf, 650518, 2624565
0102f81000652d0f, 651274, 2626780
0102f8100065f5b4, 651551, 2626608
0102f81000657086, 651562, 2627093
0102f81000650a99, 652300, 2627300
0102f8100065624f, 652390, 2628500
0102f8100065928e, 653371, 2627901
0102f81000653a3d, 651551, 2626608
0102f810006541e7, 651608, 2628122
0102f8100065dafb, 651944, 2627126
0102f81000652c54, 652599, 2626161
0102f81000652911, 653420, 2625730
0102f8100065269a, 648111, 2624325
0102f81000654c34, 649038, 2624599
0102f8100065b5e8, 650518, 2624565
0102f810006580d2, 650770, 2625610
0102f8100065d941, 650935, 2627068
0102f81000652aa6, 652358, 2625557
